name	type	units
E01	EEG	microV
E02	EEG	microV
E03	EEG	microV
E04	EEG	microV
E05	EEG	microV
E06	EEG	microV
E07	EEG	microV
E08	EEG	microV
E10	EEG	microV
E11	EEG	microV
E13	EEG	microV
E19	EOG	n/a
E20	EOG	n/a
E21	EEG	microV
E22	EEG	microV
E23	EEG	microV
E24	EEG	microV
E25	EEG	microV
E26	EEG	microV
E27	EEG	microV
E28	EEG	microV
E29	EEG	microV
E30	EEG	microV
E31	EEG	microV
E32	EEG	microV
E33	EEG	microV
E34	EEG	microV
E35	EEG	microV
E36	EEG	microV
E37	EEG	microV
E38	EEG	microV
E39	EEG	microV
E40	EEG	microV
E41	EEG	microV
E42	EEG	microV
E43	EEG	microV
E44	EEG	microV
E45	EEG	microV
E46	EEG	microV
E48	EEG	microV
E49	EEG	microV
E51	EEG	microV
E52	EEG	microV
E54	EEG	microV
E55	EEG	microV
E56	EEG	microV
E57	EEG	microV
E58	EEG	microV
E60	EEG	microV
